,"('BTC', 'BTC')","('ETH', 'ETH')","('BNB', 'BNB')","('XRP', 'XRP')","('SOL', 'SOL')","('DOGE', 'DOGE')","('ADA', 'ADA')","('AVAX', 'AVAX')","('TRX', 'TRX')","('DOT', 'DOT')","('MATIC', 'MATIC')","('LINK', 'LINK')","('NEAR', 'NEAR')","('OP', 'OP')","('ARB', 'ARB')","('APT', 'APT')","('STX', 'STX')","('ICP', 'ICP')"
2015-04-30,236.14500427246097,,,,,,,,,,,,,,,,,
2015-05-01,232.07899475097656,,,,,,,,,,,,,,,,,
2015-05-02,234.92999267578125,,,,,,,,,,,,,,,,,
2015-05-03,240.3580017089844,,,,,,,,,,,,,,,,,
2015-05-04,239.01800537109375,,,,,,,,,,,,,,,,,
2015-05-05,236.1210021972656,,,,,,,,,,,,,,,,,
2015-05-06,229.7819976806641,,,,,,,,,,,,,,,,,
2015-05-07,237.33399963378903,,,,,,,,,,,,,,,,,
2015-05-08,243.86300659179688,,,,,,,,,,,,,,,,,
2015-05-09,241.83200073242188,,,,,,,,,,,,,,,,,
2015-05-10,240.29600524902344,,,,,,,,,,,,,,,,,
2015-05-11,242.1580047607422,,,,,,,,,,,,,,,,,
2015-05-12,241.11199951171875,,,,,,,,,,,,,,,,,
2015-05-13,236.3769989013672,,,,,,,,,,,,,,,,,
2015-05-14,236.9290008544922,,,,,,,,,,,,,,,,,
2015-05-15,237.60499572753903,,,,,,,,,,,,,,,,,
2015-05-16,236.1529998779297,,,,,,,,,,,,,,,,,
2015-05-17,236.802001953125,,,,,,,,,,,,,,,,,
2015-05-18,233.1280059814453,,,,,,,,,,,,,,,,,
2015-05-19,231.9470062255859,,,,,,,,,,,,,,,,,
2015-05-20,234.01800537109375,,,,,,,,,,,,,,,,,
2015-05-21,235.343994140625,,,,,,,,,,,,,,,,,
2015-05-22,240.34800720214844,,,,,,,,,,,,,,,,,
2015-05-23,238.8719940185547,,,,,,,,,,,,,,,,,
2015-05-24,240.9530029296875,,,,,,,,,,,,,,,,,
2015-05-25,237.11000061035156,,,,,,,,,,,,,,,,,
2015-05-26,237.11599731445312,,,,,,,,,,,,,,,,,
2015-05-27,237.2830047607422,,,,,,,,,,,,,,,,,
2015-05-28,237.4080047607422,,,,,,,,,,,,,,,,,
2015-05-29,237.0959930419922,,,,,,,,,,,,,,,,,
2015-05-30,233.34500122070312,,,,,,,,,,,,,,,,,
2015-05-31,230.19000244140625,,,,,,,,,,,,,,,,,
2015-06-01,222.92599487304688,,,,,,,,,,,,,,,,,
2015-06-02,225.8029937744141,,,,,,,,,,,,,,,,,
2015-06-03,225.87399291992188,,,,,,,,,,,,,,,,,
2015-06-04,224.32400512695312,,,,,,,,,,,,,,,,,
2015-06-05,224.95199584960935,,,,,,,,,,,,,,,,,
2015-06-06,225.61900329589844,,,,,,,,,,,,,,,,,
2015-06-07,222.88099670410156,,,,,,,,,,,,,,,,,
2015-06-08,228.4889984130859,,,,,,,,,,,,,,,,,
2015-06-09,229.04800415039065,,,,,,,,,,,,,,,,,
2015-06-10,228.8029937744141,,,,,,,,,,,,,,,,,
2015-06-11,229.7050018310547,,,,,,,,,,,,,,,,,
